;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87301;The Annexation of Schleswig;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87301;The duchies of Schleswig and Holstein have long been united and considered indivisible under the Danish crown, but a question of royal claim to the duchies combined with the Holsteinian desire to join in the larger German Confederation to the south has led to considerable difficulty for King Frederick VII. The treatment of Danish people in Schleswig living under Holsteinian domination has led to a call for the duchy to be incorporated into $COUNTRY$ proper. This is unlikely to be looked on favorably by the conservative German aristocracy in Holstein.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87302;The Theft of Schleswig;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87302;The $FROMCOUNTRY_ADJ$ crown wishes to annex the Duchy of Schleswig, which has long been considered indivisible from the Duchy of Holstein. The German aristocracy is enraged by this move. They believe their future lies with the German Confederation to the south, but the Duke of Augustenberg has a stronger claim to Schleswig than the $FROMCOUNTRY_ADJ$ King. Schleswig-Holstein must forge its own path, even if it means war.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87303;The Defense of Schleswig;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87303;The Danish crown looks to impede upon the rights and lands of our brothers in Schleswig-Holstein. We must look to their defense!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87304;The Defense of Schleswig;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87304;The Danish crown looks to impede upon the rights and lands of our brothers in Schleswig-Holstein. We must look to their defense!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87305;Rebellion in Schleswig-Holstein;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87305;The arrogant German aristocrats in Holstein have declared they intend to pursue a future with the German Confederation to the south, and consider Schleswig an indivisible part of their territory. $COUNTRY_ADJ$ militants are angrily calling for the military to step in, though some fear this may lead to war with the Germans.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87306;The Schleswig-Holstein Question;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87306;The question of Schleswig-Holstein's place within the German Confederation has now finally been resolved-- in our favor. This will have larger repercussions, as the free German states will start to see that $COUNTRY$ is the true leader of the confederation;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87307;Division of Schleswig-Holstein;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87307;It seems peace and friendship will prevail in the German Confederation with our rivals looking for amiable terms about the entrance of Schleswig-Holstein into the Confederation.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87308;Aggrandizement of our Rivals.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87308;Our North German rivals have made their move and seized the entirety of Schleswig-Holstein for themselves we must respond!;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTNAME87309;Schleswig-Holstein Under Our Control;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVTDESC87309;Now that order has been restored to Schleswig-Holstein, international pressure is mounting to uphold treaties regarding the region. Failure to restore nominal independence to the duchies and keep them united will result in tensions between $COUNTRY$ and other European powers, and possibly war with the German Confederation to the south.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
